931259462468,MAN2940
796407789026,ELI6177
896681219516,ABC4407
645125731277,ABC1344
156848454627,ABC1433
469555796864,MAN2752
945880633301,ABC4631
361667252628,RSH8292
905053952012,ABC3105
589373985132,MAN2593
175508227723,ABC3259
363633674031,RSH8862
429241121797,RSH8046
118311760197,RSH8919
599004665892,SAK5081
807371514650,ABC9575
910125648234,ABC4203
389572966223,ABC9446
867631422104,ABC3940
454423716809,ABC4252
102382718101,ABC4128
494090773532,ABC1265
617696943755,LAV7823
758859586053,ABC1244
483817856948,ELI6519
532380912901,SAK5873
951661635843,ELI6169
505071761973,LAV7827
620115360923,ABC9540
466315343751,ABC3969
436915907955,SAK5415
909894708047,MAN2387
870355813441,ABC4728
461055423434,ABC1291
156150095483,ABC4508
195668288218,ABC1818
777436285296,ELI6246
138485358654,ABC9812
125185446390,ABC1709
261757686445,SAK5959
578152372991,RSH8318
587460284734,RSH8984
182568756685,ABC1592
734151244553,ELI6667
146175990156,LAV7714
685561884926,ABC1882
300550934603,ABC1068
328658873285,RSH8593
506191158286,ABC3568
105857725070,ABC3268
